model,sentence_id,input,output,ttft_s,total_s,memory,rule_violation,교정성공,의도보존,정돈품질,비고
qwen3.5:4b,s01,이 컴포넌트 useState 말고 useReducer으로 리팩토링 해줘,이 컴포넌트를 useReducer 로 리팩토링해줘.,0.956,1.236,4.3 GB,,해당없음,X,,'useState 말고' 누락 — 전환 원점 정보 삭제
qwen3.5:4b,s02,useEffect의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,useEffect 의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,0.918,1.199,4.3 GB,,해당없음,O,,원문 유지
qwen3.5:4b,s03,async await로 바꾸고 try catch로 에러 핸들링 해줘,async await 로 바꾸고 try catch 로 에러 핸들링 해줘,0.921,1.189,4.3 GB,,해당없음,O,,async/try catch 소문자 유지(v0 대문자화 해소)
qwen3.5:4b,s04,이 함수 TypeScript Generic으로 Type 잡아줘,TypeScript Generic 으로 타입 잡아줘,0.920,1.060,4.3 GB,,X,X,,"Type→타입 교정 / Generic 미교정(규칙1 '확신 없으면 유지' 준수), '이 함수' 누락"
qwen3.5:4b,s05,React Query로 캐싱하게 바꾸고 staleTime 5분으로 설정해줘,React Query 로 캐싱하게 바꾸고 staleTime 5 분 으로 설정해줘,0.920,1.217,4.3 GB,,해당없음,O,,"v0의 '(300초)' 추가 해소, '5 분 으로' 띄어쓰기 어색(경미)"
qwen3.5:4b,s06,git rebase로 커밋 세개를 하나로 squash해줘,git rebase 로 커밋 세 개를 하나로 squash 해줘,0.929,1.175,4.3 GB,,해당없음,O,,
qwen3.5:4b,s07,Dockerfile에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,Dockerfile 에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,0.928,1.205,4.3 GB,,해당없음,O,,
qwen3.5:4b,s08,이 API 엔드포인트에 rate limiting mid layer 붙여줘,API 엔드포인트에 rate limiting middleware 를 붙여줘,0.927,1.134,4.3 GB,,O,O,,"mid layer→middleware 의미 복원, '이' 누락(경미)"
qwen3.5:4b,s09,Tailwind로 다크모드 대응하는 클래스 추가해줘,Tailwind 로 다크 모드 대응하는 클래스 추가해줘,0.933,1.158,4.3 GB,,해당없음,O,,다크모드→'다크 모드' 띄어쓰기(경미)
qwen3.5:4b,s10,cmux에서 새 pane 열어서 테스트 워처 돌려줘,cmux 에서 새 pane 를 열고 테스트 워처를 돌리세요.,0.925,1.185,4.3 GB,,해당없음,O,,"pane·테스트 워처 유지(v0 날조 해소) / 어투 존댓말화(돌리세요, 경미)"
qwen3.5:4b,s11,방금 수정한 부분 다시 원래대로 되돌려줘,방금 수정한 부분 다시 원래대로 되돌려줘,0.926,1.142,4.3 GB,,해당없음,O,,원문 유지
qwen3.5:4b,s12,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,이 파일에서 중복되는 로직을 찾아서 함수로 추출해 줘.,0.927,1.225,4.3 GB,,해당없음,O,,뽑아줘→추출해 줘 바꿔쓰기(규칙2 위반 경미)
qwen3.5:4b,s13,변수 이름들 좀 더 명확하게 바꿔줘,변수 이름들 좀 더 명확하게 바꿔줘,0.932,1.106,4.3 GB,,해당없음,O,,원문 유지(v0 '환경 변수' 날조 해소)
qwen3.5:4b,s14,주석 달아줘 근데 너무 길게는 말고,주석을 달아줘. 너무 길게는 말하지 마.,0.916,1.158,4.3 GB,,해당없음,X,,'너무 길게는 말고'→'말하지 마' — 주석 길이 제한이 발화 금지로 왜곡
qwen3.5:4b,s15,이거 왜 안되는지 원인부터 찾아줘,원인부터 찾아줘,0.917,1.003,4.3 GB,,해당없음,X,,'이거 왜 안 되는지' 누락 — 문제 서술 삭제(군말 제거 과적용)
qwen3.5:4b,s16,성능 문제 있는 부분 프로파일링해서 알려줘,성능 문제 있는 부분을 프로파일링해서 알려줘.,0.922,1.130,4.3 GB,,해당없음,O,,원문 유지(v0 영어 선언문 삽입 해소)
qwen3.5:4b,s17,npm run dev하고 error log 보여줘,npm run dev 하고 error log 보여줘,0.914,1.053,4.3 GB,,X,O,,error log 미교정(원문 유지 — 소심화) / npm run dev·보여줘 보존(v0 누출 해소)
qwen3.5:4b,s18,pytest로 유닛 테스트 돌리고 실패한 것만 정리해줘,pytest 로 유닛 테스트 돌리고 실패한 것만 정리해줘,0.914,1.192,4.3 GB,,해당없음,O,,원문 유지
qwen3.5:4b,s19,"main branch에 rebase하고, force push 해줘","main branch 에 rebase 하고, force push 해줘",0.919,1.110,4.3 GB,,해당없음,O,,한국어 구조 유지(v0 전문 번역 해소)
qwen3.5:4b,s20,environment variable에서 API key 읽어오기 바꿔줘,환경 변수에서 API 키 읽기 변경해줘,0.917,1.091,4.3 GB,,X,O,,"environment variable→'환경 변수', API key→'API 키' 한국어화(규칙5 역방향) + '읽기 변경해줘' 비문 잔존"
qwen3.5:4b,s21,커밋해줘,커밋해줘,0.921,1.008,4.3 GB,,해당없음,O,,"무변경 통과 ✓(v0 영어 번역 해소, few-shot 효과)"
qwen3.5:4b,s22,테스트 돌려,테스트 돌리세요.,0.930,1.033,4.3 GB,,해당없음,O,,"어투 존댓말화(돌리세요, 경미) — v0 영어 번역 해소"
qwen3.5:4b,s23,Build 다시 해봐,빌드 다시 해봐,0.921,1.009,4.3 GB,,O,O,,Build→빌드 교정 ✓(v0 영어 번역 해소)
qwen3.5:4b,s24,린트 에러 고쳐줘,린트 오류 수정해줘,0.918,1.025,4.3 GB,,해당없음,O,,에러→오류 바꿔쓰기(경미) — v0 영어 번역 해소
