model,sentence_id,input,output,ttft_s,total_s,memory,rule_violation,교정성공,의도보존,정돈품질,비고
qwen3.5:4b,s01,이 컴포넌트 useState 말고 useReducer으로 리팩토링 해줘,컴포넌트의 상태 관리 방식을 useState 에서 useReducer 로 변경하여 리팩토링해달라.,0.719,1.114,4.3 GB,,해당없음,O,,"어투 변경(해달라), 내용 보존"
qwen3.5:4b,s02,useEffect의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,useEffect 의 cleanup 함수를 반환하도록 수정하여 제거된 코드를 복원해주세요.,0.667,0.978,4.3 GB,,해당없음,X,,'제거된 코드를 복원' 날조 — 원문에 없는 요구
qwen3.5:4b,s03,async await로 바꾸고 try catch로 에러 핸들링 해줘,"Async 와 Await 를 사용하도록 변경하고, Try-Catch 블록으로 예외 처리를 구현해 주세요.",0.669,1.048,4.3 GB,,해당없음,O,,용어 훼손: Async/Try-Catch 대문자화(사전 교정 역행)
qwen3.5:4b,s04,이 함수 TypeScript Generic으로 Type 잡아줘,TypeScript 의 Generics 를 사용하여 해당 함수의 타입을 추론하도록 구현해 주세요.,0.669,0.999,4.3 GB,,X,X,,"타입 잡아줘→'타입 추론 구현' 왜곡, Generic→Generics 미교정"
qwen3.5:4b,s05,React Query로 캐싱하게 바꾸고 staleTime 5분으로 설정해줘,"React Query 를 사용하여 캐싱을 활성화하고, `staleTime` 을 5 분 (300 초) 으로 설정하도록 수정하시오.",0.669,1.219,4.3 GB,,해당없음,X,,"'(300 초)' 임의 추가(경미), staleTime 표기 유지"
qwen3.5:4b,s06,git rebase로 커밋 세개를 하나로 squash해줘,Git 의 rebase 명령어로 3 개의 commit 을 하나의 commit 으로 squash 해달라.,0.671,0.999,4.3 GB,,해당없음,O,,커밋→commit 부분 영어화(경미)
qwen3.5:4b,s07,Dockerfile에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,Dockerfile 의 멀티 스테이지 빌드를 사용하여 이미지 크기를 축소하도록 구현해달라.,0.674,1.053,4.3 GB,,해당없음,O,,
qwen3.5:4b,s08,이 API 엔드포인트에 rate limiting mid layer 붙여줘,API 엔드포인트에 Rate Limiting 미들웨어 추가 요청합니다.,0.670,0.929,4.3 GB,,O,O,,"mid layer→미들웨어 교정, Rate Limiting 대문자화(경미)"
qwen3.5:4b,s09,Tailwind로 다크모드 대응하는 클래스 추가해줘,Tailwind 의 dark mode 를 지원하는 클래스를 추가해주세요.,0.672,0.878,4.3 GB,,해당없음,O,,다크모드→dark mode 부분 영어화(경미)
qwen3.5:4b,s10,cmux에서 새 pane 열어서 테스트 워처 돌려줘,cmux 에서 새로운 pane 를 열고 pytest 와 async 로 테스트 코드를 실행해 주세요.,0.673,1.020,4.3 GB,,해당없음,X,,"pytest·async 날조, '테스트 워처' 누락"
qwen3.5:4b,s11,방금 수정한 부분 다시 원래대로 되돌려줘,변경된 부분을 원 상태로 복원하는 작업을 수행하세요.,0.671,0.899,4.3 GB,,해당없음,O,,'방금' 누락(경미)
qwen3.5:4b,s12,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,중복된 로직을 식별하여 별도의 함수로 추출하도록 요청합니다.,0.672,0.968,4.3 GB,,해당없음,O,,
qwen3.5:4b,s13,변수 이름들 좀 더 명확하게 바꿔줘,환경 변수 이름을 더욱 명확하게 변경하여 주세요.,0.673,0.846,4.3 GB,,해당없음,X,,변수→'환경 변수' 왜곡
qwen3.5:4b,s14,주석 달아줘 근데 너무 길게는 말고,"코멘트 주석을 추가하되, 지나치게 긴 코멘트를 피하도록 요청합니다.",0.676,1.020,4.3 GB,,해당없음,O,,
qwen3.5:4b,s15,이거 왜 안되는지 원인부터 찾아줘,원인을 분석하여 해결책을 제시하십시오.,0.672,0.827,4.3 GB,,해당없음,X,,'해결책 제시' 추가 — 원문은 원인 찾기까지만
qwen3.5:4b,s16,성능 문제 있는 부분 프로파일링해서 알려줘,Performance bottlenecks을 찾아야 합니다. 성능 저하가 의심되는 부분을 프로파일링하여 식별해 주세요.,0.715,1.148,4.3 GB,,해당없음,X,,'알려줘' 누락 + 'Performance bottlenecks…' 선언문 삽입(부분 영어화)
